Block Name,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,UMean_average_0,UMean_average_1,UMean_average_2,UMean_average_Magnitude,UPrime2Mean_average_0,UPrime2Mean_average_1,UPrime2Mean_average_2,UPrime2Mean_average_3,UPrime2Mean_average_4,UPrime2Mean_average_5,UPrime2Mean_average_Magnitude,U_average_0,U_average_1,U_average_2,U_average_Magnitude,k_average,k_total_average,nut_average,pMean_average,pPrime2Mean_average,p_average,s_average
internalMesh,5478,0.03515606,-0.02284089,0.00000000,0.04192439,-1.08258319,-0.04411736,-0.04929536,1.08460259,2.47649479,0.22143236,0.07615720,-0.20568341,-0.02749868,0.05500836,2.49678731,-0.71608233,-0.02357506,-0.06033074,0.71900588,0.12992750,1.51696972,0.00000727,31.72822380,6334.70117188,41.79379654,0.75174141
internalMesh,5479,0.03555640,-0.02284162,0.00000000,0.04226106,-1.06266558,-0.06163613,-0.03406743,1.06499660,2.47826862,0.22007345,0.07710652,-0.19253562,-0.02159461,0.07541198,2.49788237,-0.70143455,-0.02624213,-0.07224570,0.70563340,0.13263154,1.52035584,0.00000855,31.76919937,6300.38281250,41.76044083,0.75192291
internalMesh,5480,0.08729065,-0.02260211,0.00000000,0.09016936,-0.58322746,-0.06073884,-0.03098255,0.58719963,4.44643068,0.24467362,0.08367561,-0.21116495,0.03771865,0.02347646,4.45916796,-2.05850124,0.01764550,0.00167379,2.05857754,0.08881363,2.47620357,0.00000722,33.57424545,4169.51123047,41.70256042,0.78645384
internalMesh,5481,0.08809431,-0.02260431,0.00000000,0.09094813,-0.53614134,-0.05575007,-0.03171146,0.53996408,4.36451912,0.23995510,0.08439333,-0.20652242,0.03146689,0.02674345,4.37699509,-2.01463509,-0.00257255,-0.01747633,2.01471257,0.08518804,2.42962158,0.00000732,33.69782639,4123.63037109,41.87259674,0.77920264
internalMesh,5482,0.09342048,-0.02261704,0.00000000,0.09611928,-0.34759909,-0.04075997,-0.03850042,0.35209200,4.01865435,0.19586487,0.06949512,-0.14482807,0.01320485,0.05055990,4.02696943,-1.78338277,-0.05269174,-0.08962714,1.78641081,0.09392878,2.23593600,0.00000586,34.17513657,3939.52905273,42.53049088,0.77460486
internalMesh,5483,0.09425587,-0.02261932,0.00000000,0.09693195,-0.29369292,-0.03771076,-0.03893594,0.29865304,3.92114472,0.17130755,0.06019737,-0.10722849,0.01601009,0.04662739,3.92712045,-1.72390985,-0.03311490,-0.08738532,1.72644079,0.09957724,2.17590215,0.00000491,34.29350281,3893.39477539,42.70686340,0.77585995
internalMesh,5484,0.10109656,-0.02263573,0.00000000,0.10359967,-0.02010194,-0.01994216,-0.06106580,0.06731129,3.38983130,0.11690116,0.06606777,0.00661351,0.01344965,0.06755678,3.39319539,-1.32770300,0.02884353,-0.05861519,1.32930923,0.09684550,1.88324571,0.00000754,34.85665131,3662.75366211,43.75611496,0.77585727
internalMesh,5485,0.10197169,-0.02263812,0.00000000,0.10445434,0.03255498,-0.02299584,-0.06829120,0.07907164,3.27576065,0.11804491,0.07090762,0.01888704,0.01129389,0.06278037,3.27932858,-1.23977137,0.01445868,-0.07211550,1.24195123,0.09408412,1.82644063,0.00000804,34.96745682,3616.49096680,43.93318939,0.77437603
internalMesh,5486,0.10373555,-0.02298713,0.00000000,0.10625193,0.07594579,-0.02633051,-0.06573841,0.10383929,3.16450334,0.12572342,0.07387901,0.01941850,0.01283577,0.05479047,3.16842079,-1.17229664,0.01191485,-0.05320271,1.17356372,0.09075971,1.77281259,0.00000983,35.08185196,3570.23022461,44.12039566,0.77263886
internalMesh,5487,0.10462434,-0.02298876,0.00000000,0.10712019,0.12876068,-0.03270524,-0.05599516,0.14416797,3.05213881,0.13558388,0.06923923,0.01639573,0.01338504,0.04394857,3.05632257,-1.12008333,0.03108842,-0.04817545,1.12154984,0.08587436,1.71435545,0.00000965,35.20035553,3524.00122070,44.31126022,0.77048272
internalMesh,5488,0.11330067,-0.02266544,0.00000000,0.11554550,0.52498120,-0.06753401,-0.04778531,0.53145981,2.28055215,0.11911071,0.07561742,0.02488792,0.01980956,0.04956508,2.28567100,-0.75523186,-0.01817354,0.05479283,0.75743496,0.06695762,1.30459770,0.00000808,35.86469269,3247.54321289,45.19411469,0.76027274
internalMesh,5489,0.11408198,-0.02266758,0.00000000,0.11631216,0.59458333,-0.06973343,-0.04942936,0.60069573,2.14510846,0.10396678,0.07877963,0.03561335,0.01913445,0.05186304,2.15007663,-0.70355630,-0.02524635,0.05752639,0.70635551,0.06462391,1.22855134,0.00000782,35.94845963,3201.58032227,45.31899643,0.75627178
internalMesh,5490,0.12216713,-0.02246108,0.00000000,0.12421477,0.97125417,-0.08097455,-0.02567455,0.97496194,1.46867955,0.08878072,0.06098205,0.05184576,0.02463168,0.04613507,1.47446382,-0.19687448,-0.07038852,0.06510403,0.21898091,0.06702782,0.87624890,0.00000725,36.20546722,2970.83056641,45.84550858,0.75063008
internalMesh,5491,0.12290528,-0.02246311,0.00000000,0.12494118,1.05452693,-0.08324102,-0.01700982,1.05794394,1.34110630,0.08967101,0.06053690,0.04663978,0.02214337,0.03787162,1.34698606,-0.07220386,-0.09818457,0.07037687,0.14073561,0.06998175,0.81563888,0.00000807,36.22284698,2924.56787109,45.92121506,0.75136501
internalMesh,5492,0.12488643,-0.02269365,0.00000000,0.12693156,1.13611484,-0.08427332,-0.01040033,1.13928354,1.22162664,0.09047631,0.06186400,0.04159316,0.02060508,0.03042023,1.22778857,0.05522845,-0.10376491,0.07769919,0.14090601,0.07069532,0.75767885,0.00000887,36.22798157,2878.29809570,45.98619080,0.75175744
internalMesh,5493,0.12588470,-0.02269638,0.00000000,0.12791436,1.21581471,-0.08509585,-0.00533290,1.21880066,1.11213791,0.08807616,0.06269965,0.03930511,0.02056669,0.02401550,1.11851871,0.17133008,-0.09502017,0.05567712,0.20367320,0.06875280,0.70020961,0.00000946,36.21936798,2831.98852539,46.03393173,0.75162596
